kappa,Fz_N,F_N
0.05,444.8,15.4
0.075,444.8,35.2
0.1,444.8,50.0
0.15,444.8,77.3
0.2,444.8,98.8
0.3,444.8,130.1
0.4,444.8,153.8
0.5,444.8,169.9
0.7,444.8,187.7
0.85,444.8,198.2
0.98,444.8,201.5
0.05,889.6,59.3
0.075,889.6,88.0
0.1,889.6,118.7
0.15,889.6,178.0
0.2,889.6,216.5
0.3,889.6,275.1
0.4,889.6,313.6
0.5,889.6,334.8
0.7,889.6,364.1
0.85,889.6,374.8
0.98,889.6,381.3
0.05,1334.5,83.0
0.075,1334.5,155.9
0.1,1334.5,199.7
0.15,1334.5,281.4
0.2,1334.5,340.7
0.3,1334.5,418.2
0.4,1334.5,465.9
0.5,1334.5,494.0
0.7,1334.5,523.9
0.85,1334.5,536.9
0.98,1334.5,543.7
0.05,1779.3,151.3
0.075,1779.3,214.0
0.1,1779.3,285.0
0.15,1779.3,387.5
0.2,1779.3,472.0
0.3,1779.3,542.9
0.4,1779.3,606.4
0.5,1779.3,642.4
0.7,1779.3,674.2
0.85,1779.3,689.6
0.98,1779.3,694.4
0.05,2224.1,186.0
0.075,2224.1,293.0
0.1,2224.1,380.1
0.15,2224.1,499.4
0.2,2224.1,558.3
0.3,2224.1,660.7
0.4,2224.1,763.2
0.5,2224.1,805.2
0.7,2224.1,851.6
0.85,2224.1,872.3
0.98,2224.1,883.1
