alpha_deg,F_100lbf_N,F_200lbf_N,F_300lbf_N,F_400lbf_N,F_500lbf_N
0.5,,38.6,47.2,71.0,
1,,47.2,49.3,71.4,139.1
2,3.8,65.7,101.8,128.5,263.6
3,39.2,85.8,149.1,179.1,269.4
5,60.0,146.1,226.1,302.5,429.7
7.5,83.6,180.1,316.8,404.3,524.7
10,105.9,230.0,380.1,544.6,658.4
15,139.4,306.6,484.5,662.5,869.1
20,167.8,357.0,559.1,768.0,923.6
30,203.0,427.7,648.5,867.0,1059.4
45,238.0,473.8,708.6,940.5,1167.5
60,253.9,496.3,736.4,973.4,1202.3
75,263.5,508.1,749.3,989.7,1218.7
88,265.8,512.3,754.2,989.7,1234.3
