alpha_deg,Fz_N,F_N
2,444.8,3.8
3,444.8,39.2
5,444.8,60.0
7.5,444.8,83.6
10,444.8,105.9
15,444.8,139.4
20,444.8,167.8
30,444.8,203.0
45,444.8,238.0
60,444.8,253.9
75,444.8,263.5
88,444.8,265.8
0.5,889.6,38.6
1,889.6,47.2
2,889.6,65.7
3,889.6,85.8
5,889.6,146.1
7.5,889.6,180.1
10,889.6,230.0
15,889.6,306.6
20,889.6,357.0
30,889.6,427.7
45,889.6,473.8
60,889.6,496.3
75,889.6,508.1
88,889.6,512.3
0.5,1334.5,47.2
1,1334.5,49.3
2,1334.5,101.8
3,1334.5,149.1
5,1334.5,226.1
7.5,1334.5,316.8
10,1334.5,380.1
15,1334.5,484.5
20,1334.5,559.1
30,1334.5,648.5
45,1334.5,708.6
60,1334.5,736.4
75,1334.5,749.3
88,1334.5,754.2
0.5,1779.3,71.0
1,1779.3,71.4
2,1779.3,128.5
3,1779.3,179.1
5,1779.3,302.5
7.5,1779.3,404.3
10,1779.3,544.6
15,1779.3,662.5
20,1779.3,768.0
30,1779.3,867.0
45,1779.3,940.5
60,1779.3,973.4
75,1779.3,989.7
88,1779.3,989.7
1,2224.1,139.1
2,2224.1,263.6
3,2224.1,269.4
5,2224.1,429.7
7.5,2224.1,524.7
10,2224.1,658.4
15,2224.1,869.1
20,2224.1,923.6
30,2224.1,1059.4
45,2224.1,1167.5
60,2224.1,1202.3
75,2224.1,1218.7
88,2224.1,1234.3
